participant_id,dataset,oracle,search,task,completion_time
31,birdstrikes,dziban,dfs,2. Retrieve Value,150.188
31,birdstrikes,dziban,dfs,3. Prediction,390.969
31,birdstrikes,dziban,dfs,4. Exploration,376.334
32,movies,compassql,bfs,1. Find Extremum,210.676
32,movies,compassql,bfs,2. Retrieve Value,522.845
32,movies,compassql,bfs,3. Prediction,427.959
32,movies,compassql,bfs,4. Exploration,762.361
33,birdstrikes,dziban,bfs,1. Find Extremum,316.352
33,birdstrikes,dziban,bfs,2. Retrieve Value,385.035
33,birdstrikes,dziban,bfs,3. Prediction,610.181
33,birdstrikes,dziban,bfs,4. Exploration,363.301
34,birdstrikes,dziban,dfs,1. Find Extremum,274.496
34,birdstrikes,dziban,dfs,2. Retrieve Value,317.898
34,birdstrikes,dziban,dfs,3. Prediction,353.005
34,birdstrikes,dziban,dfs,4. Exploration,632.996
35,movies,compassql,bfs,1. Find Extremum,118.354
35,movies,compassql,bfs,2. Retrieve Value,91.089
35,movies,compassql,bfs,3. Prediction,325.284
35,movies,compassql,bfs,4. Exploration,440.362
36,birdstrikes,compassql,dfs,1. Find Extremum,176.562
36,birdstrikes,compassql,dfs,2. Retrieve Value,177.032
36,birdstrikes,compassql,dfs,3. Prediction,1445.67
36,birdstrikes,compassql,dfs,4. Exploration,850.893
37,movies,dziban,bfs,1. Find Extremum,171.549
37,movies,dziban,bfs,2. Retrieve Value,196.112
37,movies,dziban,bfs,3. Prediction,732.332
37,movies,dziban,bfs,4. Exploration,668.223
38,movies,compassql,bfs,1. Find Extremum,289.185
38,movies,compassql,bfs,2. Retrieve Value,156.638
38,movies,compassql,bfs,3. Prediction,548.43
38,movies,compassql,bfs,4. Exploration,859.345
39,movies,compassql,bfs,1. Find Extremum,223.658
39,movies,compassql,bfs,2. Retrieve Value,158.165
39,movies,compassql,bfs,3. Prediction,745.93
39,movies,compassql,bfs,4. Exploration,907.191
3,birdstrikes,compassql,bfs,1. Find Extremum,299.53
3,birdstrikes,compassql,bfs,2. Retrieve Value,157.941
3,birdstrikes,compassql,bfs,3. Prediction,555.236
3,birdstrikes,compassql,bfs,4. Exploration,954.624
40,birdstrikes,dziban,dfs,1. Find Extremum,235.069
40,birdstrikes,dziban,dfs,2. Retrieve Value,241.323
40,birdstrikes,dziban,dfs,3. Prediction,1401.57
40,birdstrikes,dziban,dfs,4. Exploration,821.641
41,movies,dziban,bfs,1. Find Extremum,232.085
41,movies,dziban,bfs,2. Retrieve Value,239.045
41,movies,dziban,bfs,3. Prediction,785.329
41,movies,dziban,bfs,4. Exploration,895.906
42,birdstrikes,dziban,bfs,1. Find Extremum,185.373
42,birdstrikes,dziban,bfs,2. Retrieve Value,212.966
42,birdstrikes,dziban,bfs,3. Prediction,654.838
42,birdstrikes,dziban,bfs,4. Exploration,749.451
43,movies,dziban,bfs,1. Find Extremum,76.532
43,movies,dziban,bfs,2. Retrieve Value,88.999
43,movies,dziban,bfs,3. Prediction,378.74
43,movies,dziban,bfs,4. Exploration,493.578
44,movies,dziban,bfs,1. Find Extremum,378.562
44,movies,dziban,bfs,2. Retrieve Value,308.046
44,movies,dziban,bfs,3. Prediction,847.375
44,movies,dziban,bfs,4. Exploration,807.027
45,movies,compassql,dfs,1. Find Extremum,169.317
45,movies,compassql,dfs,2. Retrieve Value,352.708
45,movies,compassql,dfs,3. Prediction,730.911
45,movies,compassql,dfs,4. Exploration,434.847
46,movies,dziban,dfs,1. Find Extremum,127.562
46,movies,dziban,dfs,2. Retrieve Value,87.353
46,movies,dziban,dfs,3. Prediction,595.914
46,movies,dziban,dfs,4. Exploration,597.168
47,movies,dziban,bfs,1. Find Extremum,287.882
47,movies,dziban,bfs,2. Retrieve Value,164.61
47,movies,dziban,bfs,3. Prediction,473.256
47,movies,dziban,bfs,4. Exploration,802.248
48,birdstrikes,compassql,bfs,1. Find Extremum,156.766
48,birdstrikes,compassql,bfs,2. Retrieve Value,213.068
48,birdstrikes,compassql,bfs,3. Prediction,614.957
48,birdstrikes,compassql,bfs,4. Exploration,560.507
49,birdstrikes,compassql,bfs,1. Find Extremum,343.252
49,birdstrikes,compassql,bfs,2. Retrieve Value,193.396
49,birdstrikes,compassql,bfs,3. Prediction,289.783
49,birdstrikes,compassql,bfs,4. Exploration,617.956
4,movies,compassql,dfs,1. Find Extremum,64.071
4,movies,compassql,dfs,2. Retrieve Value,274.449
4,movies,compassql,dfs,3. Prediction,1035.578
4,movies,compassql,dfs,4. Exploration,949.55
50,birdstrikes,compassql,dfs,1. Find Extremum,733.951
50,birdstrikes,compassql,dfs,2. Retrieve Value,172.199
50,birdstrikes,compassql,dfs,3. Prediction,732.418
50,birdstrikes,compassql,dfs,4. Exploration,523.348
51,movies,dziban,dfs,1. Find Extremum,146.532
51,movies,dziban,dfs,2. Retrieve Value,170.892
51,movies,dziban,dfs,3. Prediction,348.954
51,movies,dziban,dfs,4. Exploration,440.702
52,birdstrikes,dziban,bfs,1. Find Extremum,417.279
52,birdstrikes,dziban,bfs,2. Retrieve Value,380.652
52,birdstrikes,dziban,bfs,3. Prediction,780.384
52,birdstrikes,dziban,bfs,4. Exploration,548.394
53,movies,dziban,dfs,1. Find Extremum,131.91
53,movies,dziban,dfs,2. Retrieve Value,212.66
53,movies,dziban,dfs,3. Prediction,664.562
53,movies,dziban,dfs,4. Exploration,641.783
54,movies,dziban,dfs,1. Find Extremum,131.425
54,movies,dziban,dfs,2. Retrieve Value,536.05
54,movies,dziban,dfs,3. Prediction,1440.465
54,movies,dziban,dfs,4. Exploration,927.655
55,movies,compassql,dfs,1. Find Extremum,180.368
55,movies,compassql,dfs,2. Retrieve Value,154.328
55,movies,compassql,dfs,3. Prediction,1061.322
55,movies,compassql,dfs,4. Exploration,410.176
56,movies,dziban,dfs,1. Find Extremum,173.295
56,movies,dziban,dfs,2. Retrieve Value,225.553
56,movies,dziban,dfs,3. Prediction,665.856
56,movies,dziban,dfs,4. Exploration,751.604
57,birdstrikes,dziban,dfs,1. Find Extremum,214.771
57,birdstrikes,dziban,dfs,2. Retrieve Value,243.737
57,birdstrikes,dziban,dfs,3. Prediction,689.81
57,birdstrikes,dziban,dfs,4. Exploration,794.259
58,birdstrikes,dziban,bfs,1. Find Extremum,311.761
58,birdstrikes,dziban,bfs,2. Retrieve Value,199.194
58,birdstrikes,dziban,bfs,3. Prediction,1055.394
58,birdstrikes,dziban,bfs,4. Exploration,782.013
59,movies,compassql,bfs,1. Find Extremum,118.083
59,movies,compassql,bfs,2. Retrieve Value,125.868
59,movies,compassql,bfs,3. Prediction,581.608
59,movies,compassql,bfs,4. Exploration,541.348
5,movies,dziban,bfs,1. Find Extremum,229.185
5,movies,dziban,bfs,2. Retrieve Value,241.724
5,movies,dziban,bfs,3. Prediction,659.498
5,movies,dziban,bfs,4. Exploration,595.646
6,birdstrikes,compassql,dfs,1. Find Extremum,189.291
6,birdstrikes,compassql,dfs,2. Retrieve Value,191.305
6,birdstrikes,compassql,dfs,3. Prediction,591.527
6,birdstrikes,compassql,dfs,4. Exploration,597.295
7,movies,compassql,dfs,1. Find Extremum,97.353
7,movies,compassql,dfs,2. Retrieve Value,185.769
7,movies,compassql,dfs,3. Prediction,537.48
7,movies,compassql,dfs,4. Exploration,670.009
8,movies,dziban,dfs,1. Find Extremum,378.739
8,movies,dziban,dfs,2. Retrieve Value,374.719
8,movies,dziban,dfs,3. Prediction,498.083
8,movies,dziban,dfs,4. Exploration,880.304
9,movies,dziban,bfs,1. Find Extremum,399.447
9,movies,dziban,bfs,2. Retrieve Value,262.809
9,movies,dziban,bfs,3. Prediction,1139.979
9,movies,dziban,bfs,4. Exploration,829.866
