participant_id,dataset,oracle,search,task,accuracy
57,birdstrikes,dziban,dfs,1. Find Extremum,1
58,birdstrikes,dziban,bfs,1. Find Extremum,1
59,movies,compassql,bfs,1. Find Extremum,1
5,movies,dziban,bfs,1. Find Extremum,1
6,birdstrikes,compassql,dfs,1. Find Extremum,1
7,movies,compassql,dfs,1. Find Extremum,1
8,movies,dziban,dfs,1. Find Extremum,1
9,movies,dziban,bfs,1. Find Extremum,1
10,birdstrikes,compassql,bfs,2. Retrieve Value,1
11,birdstrikes,compassql,dfs,2. Retrieve Value,1
12,movies,compassql,dfs,2. Retrieve Value,1
13,birdstrikes,dziban,bfs,2. Retrieve Value,1
14,movies,compassql,dfs,2. Retrieve Value,1
15,movies,dziban,dfs,2. Retrieve Value,1
16,birdstrikes,dziban,dfs,2. Retrieve Value,1
17,movies,compassql,dfs,2. Retrieve Value,1
18,birdstrikes,dziban,dfs,2. Retrieve Value,1
19,movies,compassql,dfs,2. Retrieve Value,1
1,birdstrikes,compassql,bfs,2. Retrieve Value,1
20,birdstrikes,compassql,dfs,2. Retrieve Value,1
21,birdstrikes,compassql,dfs,2. Retrieve Value,1
22,movies,dziban,bfs,2. Retrieve Value,1
23,birdstrikes,compassql,dfs,2. Retrieve Value,1
24,movies,compassql,bfs,2. Retrieve Value,1
25,birdstrikes,dziban,dfs,2. Retrieve Value,1
26,birdstrikes,dziban,bfs,2. Retrieve Value,1
27,birdstrikes,dziban,bfs,2. Retrieve Value,1
28,birdstrikes,compassql,bfs,2. Retrieve Value,1
29,movies,compassql,bfs,2. Retrieve Value,1
2,birdstrikes,compassql,bfs,2. Retrieve Value,1
30,movies,dziban,dfs,2. Retrieve Value,1
31,birdstrikes,dziban,dfs,2. Retrieve Value,0
32,movies,compassql,bfs,2. Retrieve Value,0
33,birdstrikes,dziban,bfs,2. Retrieve Value,1
34,birdstrikes,dziban,dfs,2. Retrieve Value,1
35,movies,compassql,bfs,2. Retrieve Value,0
36,birdstrikes,compassql,dfs,2. Retrieve Value,1
37,movies,dziban,bfs,2. Retrieve Value,1
38,movies,compassql,bfs,2. Retrieve Value,1
39,movies,compassql,bfs,2. Retrieve Value,1
3,birdstrikes,compassql,bfs,2. Retrieve Value,1
40,birdstrikes,dziban,dfs,2. Retrieve Value,1
41,movies,dziban,bfs,2. Retrieve Value,1
42,birdstrikes,dziban,bfs,2. Retrieve Value,1
43,movies,dziban,bfs,2. Retrieve Value,1
44,movies,dziban,bfs,2. Retrieve Value,1
45,movies,compassql,dfs,2. Retrieve Value,1
46,movies,dziban,dfs,2. Retrieve Value,1
47,movies,dziban,bfs,2. Retrieve Value,1
48,birdstrikes,compassql,bfs,2. Retrieve Value,1
49,birdstrikes,compassql,bfs,2. Retrieve Value,1
4,movies,compassql,dfs,2. Retrieve Value,1
50,birdstrikes,compassql,dfs,2. Retrieve Value,1
51,movies,dziban,dfs,2. Retrieve Value,1
52,birdstrikes,dziban,bfs,2. Retrieve Value,1
53,movies,dziban,dfs,2. Retrieve Value,1
54,movies,dziban,dfs,2. Retrieve Value,1
55,movies,compassql,dfs,2. Retrieve Value,1
56,movies,dziban,dfs,2. Retrieve Value,0
57,birdstrikes,dziban,dfs,2. Retrieve Value,1
58,birdstrikes,dziban,bfs,2. Retrieve Value,1
59,movies,compassql,bfs,2. Retrieve Value,1
5,movies,dziban,bfs,2. Retrieve Value,1
6,birdstrikes,compassql,dfs,2. Retrieve Value,1
7,movies,compassql,dfs,2. Retrieve Value,1
8,movies,dziban,dfs,2. Retrieve Value,1
9,movies,dziban,bfs,2. Retrieve Value,0
